1826,1970,GRADUATION,DIVORCED,84835,0,0,2014-06-16,0,189,104,379,111,189,218,1,4,4,6,1,1,0,-7028.9916,2014,6,1190
1,1961,GRADUATION,SINGLE,57091,0,0,2014-06-15,0,464,5,64,7,0,37,1,7,3,7,5,1,0,-9794.4541,2014,6,577
10476,1958,GRADUATION,MARRIED,67267,0,1,2014-05-13,0,134,11,59,15,2,30,1,3,2,5,2,0,0,-26699.6016,2014,5,251
1386,1967,GRADUATION,TOGETHER,32474,1,1,2014-11-05,0,10,0,1,0,0,0,1,1,0,2,7,0,0,-295118.1818,2014,11,11
5371,1989,GRADUATION,SINGLE,21474,1,0,2014-08-04,0,6,16,24,11,0,34,2,3,1,2,7,1,0,-23497.8022,2014,8,91
7348,1958,PHD,SINGLE,71691,0,0,2014-03-17,0,336,130,411,240,32,43,1,4,7,5,2,1,0,-5914.3456,2014,3,1192
4073,1954,2N CYCLE,MARRIED,63564,0,0,2014-01-29,0,769,80,252,15,34,65,1,10,10,7,6,1,0,-5131.6049,2014,1,1215
1991,1967,GRADUATION,TOGETHER,44931,0,1,2014-01-18,0,78,0,11,0,0,7,1,2,1,3,5,0,0,-46703.1250,2014,1,96
4047,1954,PHD,MARRIED,65324,0,1,2014-11-01,0,384,0,102,21,32,5,3,6,2,9,4,0,0,-11908.0882,2014,11,544
9477,1954,PHD,MARRIED,65324,0,1,2014-11-01,0,384,0,102,21,32,5,3,6,2,9,4,0,0,-11908.0882,2014,11,544
2079,1947,2N CYCLE,MARRIED,81044,0,0,2013-12-27,0,450,26,535,73,98,26,1,5,6,10,1,0,0,-6608.9404,2013,12,1208
5642,1979,MASTER,TOGETHER,62499,1,0,2013-09-12,0,140,4,61,0,13,4,2,3,1,6,4,0,0,-28052.7027,2013,9,222
10530,1959,PHD,WIDOW,67786,0,0,2013-07-12,0,431,82,441,80,20,102,1,3,6,6,1,1,0,-5763.8408,2013,7,1156
2964,1981,GRADUATION,MARRIED,26872,0,0,2013-10-16,0,3,10,8,3,16,32,1,1,1,2,6,0,0,-37222.2222,2013,10,72
10311,1969,GRADUATION,MARRIED,4428,0,1,2013-05-10,0,16,4,12,2,4,321,0,25,0,0,1,0,0,-1133.4262,2013,5,359
837,1977,GRADUATION,MARRIED,54809,1,1,2013-11-09,0,63,6,57,13,13,22,4,2,1,5,4,0,0,-31399.4253,2013,11,174
10521,1977,GRADUATION,MARRIED,54809,1,1,2013-11-09,0,63,6,57,13,13,22,4,2,1,5,4,1,0,-31399.4253,2013,11,174
10175,1958,PHD,DIVORCED,32173,0,1,2013-01-08,0,18,0,2,0,0,2,1,1,0,3,4,0,0,-146140.9091,2013,1,22
1473,1960,2N CYCLE,SINGLE,47823,0,1,2013-07-23,0,53,1,5,2,1,10,2,2,0,3,8,0,0,-66320.8333,2013,7,72
2795,1958,MASTER,SINGLE,30523,2,1,2013-01-07,0,5,0,3,0,0,5,1,1,0,2,7,0,0,-234692.3077,2013,1,13
2285,1954,MASTER,TOGETHER,36634,0,1,2013-05-28,0,213,9,76,4,3,30,3,5,2,5,7,0,0,-10835.5224,2013,5,335
115,1966,MASTER,SINGLE,43456,0,1,2013-03-26,0,275,11,68,25,7,7,3,5,1,8,5,0,0,-10957.5064,2013,3,393
10470,1979,MASTER,MARRIED,40662,1,0,2013-03-15,0,40,2,23,0,4,23,2,2,1,3,4,0,0,-44097.8261,2013,3,92
4065,1976,PHD,MARRIED,49544,1,0,2013-12-02,0,308,0,73,0,0,23,2,5,1,8,7,0,0,-12163.3663,2013,12,404
